id	year	start_date	curr_date	subtract_year
1	1980	1980-01-01	2024-05-11	44
2	1981	1981-01-01	2024-05-11	43
3	1982	1982-01-01	2024-05-11	42
4	1983	1983-01-01	2024-05-11	41
5	1984	1984-01-01	2024-05-11	40
6	1985	1985-01-01	2024-05-11	39
7	1986	1986-01-01	2024-05-11	38
8	1987	1987-01-01	2024-05-11	37
9	1988	1988-01-01	2024-05-11	36
10	1989	1989-01-01	2024-05-11	35
11	1990	1990-01-01	2024-05-11	34
12	1991	1991-01-01	2024-05-11	33
13	1995	1995-01-01	2024-05-11	29
14	1997	1997-01-01	2024-05-11	27
15	1998	1998-01-01	2024-05-11	26
16	1999	1999-01-01	2024-05-11	25
17	2000	2000-01-01	2024-05-11	24
18	2001	2001-01-01	2024-05-11	23
19	2002	2002-01-01	2024-05-11	22
20	2003	2003-01-01	2024-05-11	21
21	2004	2004-01-01	2024-05-11	20
22	2005	2005-01-01	2024-05-11	19
23	2006	2006-01-01	2024-05-11	18
24	2007	2007-01-01	2024-05-11	17
25	2008	2008-01-01	2024-05-11	16
26	2009	2009-01-01	2024-05-11	15
27	2010	2010-01-01	2024-05-11	14
28	2011	2011-01-01	2024-05-11	13
29	2012	2012-01-01	2024-05-11	12
30	2013	2013-01-01	2024-05-11	11
31	2014	2014-01-01	2024-05-11	10
32	2015	2015-01-01	2024-05-11	9
33	2016	2016-01-01	2024-05-11	8
34	2017	2017-01-01	2024-05-11	7
35	2018	2018-01-01	2024-05-11	6
36	2019	2019-01-01	2024-05-11	5
37	2020	2020-01-01	2024-05-11	4
38	1980	1980-01-01	2024-05-11	44
39	1981	1981-01-01	2024-05-11	43
40	1982	1982-01-01	2024-05-11	42
41	1983	1983-01-01	2024-05-11	41
42	1984	1984-01-01	2024-05-11	40
43	1985	1985-01-01	2024-05-11	39
44	1986	1986-01-01	2024-05-11	38
45	1987	1987-01-01	2024-05-11	37
46	1988	1988-01-01	2024-05-11	36
47	1989	1989-01-01	2024-05-11	35
48	1990	1990-01-01	2024-05-11	34
49	1991	1991-01-01	2024-05-11	33
50	1992	1992-01-01	2024-05-11	32
51	1993	1993-01-01	2024-05-11	31
52	1994	1994-01-01	2024-05-11	30
53	1995	1995-01-01	2024-05-11	29
54	1996	1996-01-01	2024-05-11	28
55	1997	1997-01-01	2024-05-11	27
56	1998	1998-01-01	2024-05-11	26
57	1999	1999-01-01	2024-05-11	25
58	2000	2000-01-01	2024-05-11	24
59	2001	2001-01-01	2024-05-11	23
60	2002	2002-01-01	2024-05-11	22
61	2003	2003-01-01	2024-05-11	21
62	2004	2004-01-01	2024-05-11	20
63	2005	2005-01-01	2024-05-11	19
64	2006	2006-01-01	2024-05-11	18
65	2007	2007-01-01	2024-05-11	17
66	2008	2008-01-01	2024-05-11	16
67	2009	2009-01-01	2024-05-11	15
68	2010	2010-01-01	2024-05-11	14
69	2011	2011-01-01	2024-05-11	13
70	2012	2012-01-01	2024-05-11	12
71	2013	2013-01-01	2024-05-11	11
72	2014	2014-01-01	2024-05-11	10
73	2015	2015-01-01	2024-05-11	9
74	2016	2016-01-01	2024-05-11	8
75	2017	2017-01-01	2024-05-11	7
76	2018	2018-01-01	2024-05-11	6
77	2019	2019-01-01	2024-05-11	5
78	2020	2020-01-01	2024-05-11	4
79	1980	1980-01-01	2024-05-11	44
80	1981	1981-01-01	2024-05-11	43
81	1982	1982-01-01	2024-05-11	42
82	1983	1983-01-01	2024-05-11	41
83	1984	1984-01-01	2024-05-11	40
84	1985	1985-01-01	2024-05-11	39
85	1986	1986-01-01	2024-05-11	38
86	1987	1987-01-01	2024-05-11	37
87	1988	1988-01-01	2024-05-11	36
88	1989	1989-01-01	2024-05-11	35
89	1990	1990-01-01	2024-05-11	34
90	1991	1991-01-01	2024-05-11	33
91	1992	1992-01-01	2024-05-11	32
92	1993	1993-01-01	2024-05-11	31
93	1994	1994-01-01	2024-05-11	30
94	1995	1995-01-01	2024-05-11	29
95	1996	1996-01-01	2024-05-11	28
96	1997	1997-01-01	2024-05-11	27
97	1998	1998-01-01	2024-05-11	26
98	1999	1999-01-01	2024-05-11	25
99	2000	2000-01-01	2024-05-11	24
100	2001	2001-01-01	2024-05-11	23
101	2002	2002-01-01	2024-05-11	22
102	2003	2003-01-01	2024-05-11	21
103	2004	2004-01-01	2024-05-11	20
104	2005	2005-01-01	2024-05-11	19
105	2006	2006-01-01	2024-05-11	18
106	2007	2007-01-01	2024-05-11	17
107	2008	2008-01-01	2024-05-11	16
108	2009	2009-01-01	2024-05-11	15
109	2010	2010-01-01	2024-05-11	14
110	2011	2011-01-01	2024-05-11	13
111	2012	2012-01-01	2024-05-11	12
112	2013	2013-01-01	2024-05-11	11
113	2014	2014-01-01	2024-05-11	10
114	2015	2015-01-01	2024-05-11	9
115	2016	2016-01-01	2024-05-11	8
116	2017	2017-01-01	2024-05-11	7
117	2018	2018-01-01	2024-05-11	6
118	2019	2019-01-01	2024-05-11	5
119	2020	2020-01-01	2024-05-11	4
120	1999	1999-01-01	2024-05-11	25
121	2000	2000-01-01	2024-05-11	24
122	2001	2001-01-01	2024-05-11	23
123	2002	2002-01-01	2024-05-11	22
124	2003	2003-01-01	2024-05-11	21
125	2004	2004-01-01	2024-05-11	20
126	2005	2005-01-01	2024-05-11	19
127	2006	2006-01-01	2024-05-11	18
128	2007	2007-01-01	2024-05-11	17
129	2008	2008-01-01	2024-05-11	16
130	2009	2009-01-01	2024-05-11	15
131	2010	2010-01-01	2024-05-11	14
132	2011	2011-01-01	2024-05-11	13
133	2012	2012-01-01	2024-05-11	12
134	2013	2013-01-01	2024-05-11	11
135	2014	2014-01-01	2024-05-11	10
136	2015	2015-01-01	2024-05-11	9
137	2016	2016-01-01	2024-05-11	8
138	2017	2017-01-01	2024-05-11	7
139	2018	2018-01-01	2024-05-11	6
140	2019	2019-01-01	2024-05-11	5
141	2020	2020-01-01	2024-05-11	4
142	1980	1980-01-01	2024-05-11	44
143	1981	1981-01-01	2024-05-11	43
144	1982	1982-01-01	2024-05-11	42
145	1983	1983-01-01	2024-05-11	41
146	1984	1984-01-01	2024-05-11	40
147	1985	1985-01-01	2024-05-11	39
148	1986	1986-01-01	2024-05-11	38
149	1987	1987-01-01	2024-05-11	37
150	1988	1988-01-01	2024-05-11	36
151	1989	1989-01-01	2024-05-11	35
152	1991	1991-01-01	2024-05-11	33
153	1992	1992-01-01	2024-05-11	32
154	1993	1993-01-01	2024-05-11	31
155	1994	1994-01-01	2024-05-11	30
156	1995	1995-01-01	2024-05-11	29
157	1996	1996-01-01	2024-05-11	28
158	1997	1997-01-01	2024-05-11	27
159	1998	1998-01-01	2024-05-11	26
160	1999	1999-01-01	2024-05-11	25
161	2000	2000-01-01	2024-05-11	24
162	2001	2001-01-01	2024-05-11	23
163	2002	2002-01-01	2024-05-11	22
164	2003	2003-01-01	2024-05-11	21
165	2004	2004-01-01	2024-05-11	20
166	2005	2005-01-01	2024-05-11	19
167	2006	2006-01-01	2024-05-11	18
168	2007	2007-01-01	2024-05-11	17
169	2008	2008-01-01	2024-05-11	16
170	2009	2009-01-01	2024-05-11	15
171	2010	2010-01-01	2024-05-11	14
172	2011	2011-01-01	2024-05-11	13
173	2012	2012-01-01	2024-05-11	12
174	2013	2013-01-01	2024-05-11	11
175	2014	2014-01-01	2024-05-11	10
176	2015	2015-01-01	2024-05-11	9
177	2016	2016-01-01	2024-05-11	8
178	2017	2017-01-01	2024-05-11	7
179	2018	2018-01-01	2024-05-11	6
180	2019	2019-01-01	2024-05-11	5
181	2020	2020-01-01	2024-05-11	4
182	1980	1980-01-01	2024-05-11	44
183	1981	1981-01-01	2024-05-11	43
184	1982	1982-01-01	2024-05-11	42
185	1983	1983-01-01	2024-05-11	41
186	1984	1984-01-01	2024-05-11	40
187	1985	1985-01-01	2024-05-11	39
188	1986	1986-01-01	2024-05-11	38
189	1987	1987-01-01	2024-05-11	37
190	1988	1988-01-01	2024-05-11	36
191	1989	1989-01-01	2024-05-11	35
192	1990	1990-01-01	2024-05-11	34
193	1991	1991-01-01	2024-05-11	33
194	1992	1992-01-01	2024-05-11	32
195	1993	1993-01-01	2024-05-11	31
196	1994	1994-01-01	2024-05-11	30
197	1995	1995-01-01	2024-05-11	29
198	1996	1996-01-01	2024-05-11	28
199	1997	1997-01-01	2024-05-11	27
200	1998	1998-01-01	2024-05-11	26
201	1999	1999-01-01	2024-05-11	25
202	2000	2000-01-01	2024-05-11	24
203	2001	2001-01-01	2024-05-11	23
204	2002	2002-01-01	2024-05-11	22
205	2003	2003-01-01	2024-05-11	21
206	2004	2004-01-01	2024-05-11	20
207	2005	2005-01-01	2024-05-11	19
208	2006	2006-01-01	2024-05-11	18
209	2007	2007-01-01	2024-05-11	17
210	2008	2008-01-01	2024-05-11	16
211	2010	2010-01-01	2024-05-11	14
212	1980	1980-01-01	2024-05-11	44
213	1981	1981-01-01	2024-05-11	43
214	1982	1982-01-01	2024-05-11	42
215	1983	1983-01-01	2024-05-11	41
216	1984	1984-01-01	2024-05-11	40
217	1985	1985-01-01	2024-05-11	39
218	1986	1986-01-01	2024-05-11	38
219	1987	1987-01-01	2024-05-11	37
220	1988	1988-01-01	2024-05-11	36
221	1989	1989-01-01	2024-05-11	35
222	1990	1990-01-01	2024-05-11	34
223	1991	1991-01-01	2024-05-11	33
224	1992	1992-01-01	2024-05-11	32
225	1993	1993-01-01	2024-05-11	31
226	1994	1994-01-01	2024-05-11	30
227	1995	1995-01-01	2024-05-11	29
228	1996	1996-01-01	2024-05-11	28
229	1997	1997-01-01	2024-05-11	27
230	1998	1998-01-01	2024-05-11	26
231	1999	1999-01-01	2024-05-11	25
232	2000	2000-01-01	2024-05-11	24
233	2001	2001-01-01	2024-05-11	23
234	2002	2002-01-01	2024-05-11	22
235	2003	2003-01-01	2024-05-11	21
236	2004	2004-01-01	2024-05-11	20
